0,1,2,3,4,5,6,7,labels
0.32836,5.3221,616.02,34.911,0.35554,5.8204,235.13,95.786,2
1.0782,3.0165,411.69,18.14,0,0.85956,8.8956,31.433,Unknown
0,7.8354,839.1,517.97,1.7501,0,7.5022,16.383,4
0.10763,3.3186,357.74,15.041,0.61601,0.52271,133.53,85.054,2
0.88779,11.915,652.68,312.6,0.058481,6.5349,15.809,10.578,4
1.2764,2.7578,436.75,332.31,0.99401,0,9.3581,32.57,4
0.81763,5.45,696.96,659.98,0.76969,4.9455,23.273,15.218,4
4.3479,4.3913,669.12,269.94,4.114,0,0.40243,21.806,4
0.53141,7.4154,699.71,489.08,0.61838,2.004,8.2382,26.156,4
0.68656,9.9242,1731.7,122.88,77.733,0,1.4403,16.453,Unknown
0.62872,8.2157,735.39,295.78,0.37327,2.2654,15.718,6.436,4
2.9121,20.471,670.15,343.15,7.4996,1.7822,8.4828,19.333,4
0.56206,17.314,736.67,397.96,3.9084,5.2687,26.017,19.314,4
4.3332,2.5371,417.94,6.5377,1.93,80.124,74.606,13.902,3
0.93385,5.2828,678.96,9.4042,0,1.5723,654.47,8.317,Unknown
2.8684,12.187,938.48,711.33,4.4616,4.2248,12.209,12.295,4
0.6208,6.1999,675.41,359.86,4.3218,2.4583,7.2403,12.288,4
0,0,189.05,24.36,0,1.5455,5.1019,9.4372,Unknown
0,1.5731,467.27,0.005462,0.5968,0.83737,98.033,61.155,2
2.8509,1.0329,450.01,21.883,1.4548,156.52,153.3,0.45823,3
1.5235,2.3464,725.62,138.16,0,0,6.6307,8.6115,4
0,4.3592,584.79,0,6.5653,0,13.211,3.6753,Unknown
1.7191,5.1454,751.29,4.8492,10.125,3.0393,3.7924,1.5314,Unknown
0,6.8997,574,14.169,0,129.43,103.27,14.838,3
0.29178,7.6283,806.7,570.71,0.13005,1.0939,33.242,32.192,4
1.4503,0,463.62,20.201,0,4.2781,222.08,84.988,2
2.792,11.12,755.05,23.523,184.01,0.29898,13.237,15.56,Unknown
4.9465,16.581,1303.5,532.55,4.2231,7.2428,17.304,32.04,4
68.814,212.36,442.19,23.21,3.2448,2.6342,5.6564,10.005,1
0.85213,7.7485,488.54,10.865,1.3764,0.45664,461.9,67.77,2
0.90931,7.449,600.84,19.837,9.8482,0.89101,1.571,8.3135,Unknown
4.8314,6.4965,327.23,12.216,4.1666,0.33082,285.71,79.859,2
0,2.496,646.29,256.58,2.1435,0,13.863,6.7854,4
0.79924,9.7854,746.47,311.95,0.99351,3.6915,18.174,24.468,4
1.8646,7.89,688.91,543.71,3.629,6.0171,9.8701,34.746,4
0,5.4906,596.54,481.49,4.6038,3.5216,11.367,18.664,4
0,6.7961,396.25,29.348,0,7.8445,369.18,57.738,2
3.5267,4.6147,646.28,282.75,0,1.326,16.816,18.238,4
1.2258,4.024,598.92,24.81,0.99815,3.6003,263.68,63.512,2
4.115,2.7401,581.45,14.583,0,3.9866,275.37,143.24,2
3.9913,1.2485,562.62,19.763,0,1.2147,156.12,99.248,2
1.3681,10.086,690.91,287.96,0.69805,6.3284,15.604,12.456,4
0,15.961,883.36,45.494,205.2,2.4444,2.2145,13.042,Unknown
0,6.6604,755.16,111.89,1.5225,1.9615,4.4431,1.356,4
0.52626,15.981,900.65,99.737,6.4271,0,32.035,14.986,4
0,0.46394,463.95,24.795,0,1.0594,226.57,95.447,2
0,4.6691,619.74,619.92,2.729,1.7695,5.6121,53.579,4
0,2.6777,1137.2,14.515,42.883,0.07524,5.6514,5.3468,Unknown
0.33464,8.4727,945.53,90.293,144.66,0,4.7686,11.729,Unknown
22.578,4.5266,629.8,39.732,5.9195,8.1181,13.622,37.086,Unknown
1.1579,7.9566,858.27,281.22,0,1.927,7.5049,25.779,4
19.506,131.27,1025.4,33.012,4.0081,108.56,158.63,12.729,Unknown
0.30144,2.5507,538.46,311.83,0,0.60008,11.754,12.055,4
1.7198,9.7255,852.36,461.82,2.6033,2.659,9.3217,20.854,4
0,7.6749,711.18,13.275,186.08,0,2.6855,0.42624,Unknown
0,2.6289,541.59,17.186,0,226.88,228.51,9.9051,3
0.35144,6.2036,785.02,20.633,3.8763,166.75,526.44,4.265,3
4.4315,3.0965,644.93,13.229,53.644,1.6087,8.259,10.085,Unknown
0.4468,10.769,1008.8,219.6,66.275,11.635,5.3535,22.833,Unknown
0.36638,9.0711,721.75,457.95,0.8157,0,8.8291,41.953,4
0.31454,5.6247,601.97,3.8513,67.85,0.60935,3.6471,11.377,Unknown
1.0166,5.7049,625.56,15.127,28.697,3.1321,9.8175,16.886,Unknown
36.714,302.8,342.31,12.249,0.79391,4.3302,2.8186,5.7822,1
0,11.359,869.34,779.33,1.9226,0.79566,6.2099,35.254,4
77.437,304.4,485.85,15.551,0.021912,1.6209,5.3578,5.9044,1
0,4.1226,414.96,22.069,2.7885,5.53,78.265,90.464,2
0,8.8161,598.93,324.46,4.0652,2.839,13.627,31.916,4
23.463,140.4,184.88,7.9323,1.4656,0,3.9004,1.2102,1
0.51621,12.117,647.18,277.34,3.4106,0.33507,6.855,17.046,4
0,1.8882,580.75,7.3477,141.84,0.94683,0.43696,1.8823,Unknown
0,3.613,573.38,365.47,2.7146,0.50196,8.3887,13.807,4
0.55042,6.2711,1434.2,35.214,0,4.1938,1071.2,9.4496,Unknown
0.082494,4.1331,449.82,3.0892,0,18.77,54.567,2.4486,Unknown
0.6758,9.2009,940.28,506.3,1.1126,2.5431,16.462,31.23,4
0,18.536,1118.4,125.75,224.5,3.4565,10.947,8.3394,Unknown
3.2396,7.9765,721.92,451.85,3.4137,0.05779,13.928,36.979,4
0,2.2683,430.87,16.6,3.2429,4.4788,1.4747,3.0714,Unknown
0.14944,0,611.52,10.863,0,243,227.28,7.7604,3
0,0,707.47,9.3716,154.1,0,7.3786,9.8916,Unknown
0.12066,4.6603,503.46,34.816,0.90891,0,153.55,117.19,2
8.036,5.0613,732.35,328.9,6.7677,1.9413,15.64,31.978,4
0,1.87,292.1,5.0453,26.209,0,15.002,5.6867,Unknown
0.48838,3.2699,654.09,48.485,70.076,0,11.354,9.5701,Unknown
1.5485,4.1449,507.99,15.592,0.65123,2.3565,365.52,92.975,2
1.3067,2.313,504.99,7.0715,38.242,1.4664,9.6059,8.9132,Unknown
1.4366,7.57,804.13,29.696,137.67,0.44506,10.958,25.156,Unknown
43.297,264.19,704.94,7.6844,0,2.3127,2.0309,0.23414,1
30.872,230.73,315.96,35.932,3.5586,0.82802,1.0017,1.3353,1
0.4033,6.0965,688.97,27.53,252.75,2.3714,11.145,8.5718,Unknown
3.9399,12.442,797.66,469.88,0.88385,0.29041,8.7176,15.797,4
0.51728,5.2377,592.42,402.87,0,1.5076,12.771,10.14,4
1.6079,9.5266,647.8,495.1,2.3303,0.93748,7.9901,23.347,4
8.7485,3.6406,380.38,9.5356,2.2946,4.8419,200.02,100.96,2
0.51647,13.971,824.47,539.08,2.9937,9.6312,4.6471,77.243,4
5.4988,6.3225,594.87,13.839,1.572,5.5261,4.0897,41.721,Unknown
0.97554,5.9749,378.76,20.205,33.073,10.344,6.4992,6.8651,Unknown
0,2.1123,473.75,20.061,0,2.2977,304.64,88.731,2
0.3546,1.1871,474.23,50.976,2.7322,6.3206,147.55,111.22,2
0.15911,9.475,1285.7,249.92,200.68,0.21628,16.213,24.385,Unknown
0.50505,1.4002,291.68,55.119,0,1.1975,4.1232,10.34,Unknown
4.111,6.4824,401.02,28.467,0,139.74,172.36,3.195,3
1.1152,54.048,94.35,1.3582,6.6856,2.5108,5.7437,7.3015,Unknown
0.73152,3.219,632.29,13.685,0,100.39,154.74,7.1813,3
0,9.0293,647.19,299.27,7.0245,1.8584,14.807,15.789,4
1.8423,7.7612,1537.1,472.59,3.847,6.2733,9.9196,25.736,4
0.37772,7.1502,706.44,45.049,6.7583,1.5718,11.011,21.802,Unknown
0,1.2157,388.66,78.035,0.36681,0,2.8635,6.1798,Unknown
0,6.8646,440.63,27.474,56.325,12.902,6.3041,5.2465,Unknown
0.29892,5.4679,754.77,433.02,0,2.1858,4.1039,25.409,4
3.8083,15.738,594.87,325.72,3.2344,6.1112,16.567,39.164,4
89.519,252.78,256.54,9.5032,1.6029,0,0,2.6377,1
2.0272,1.3677,587.48,357.26,1.9275,2.5381,7.3346,26.87,4
0.076772,4.7427,575.88,313,2.8579,0,7.414,4.5076,4
0.24388,2.1693,516.9,8.9726,0.051309,91.354,204.72,1.3838,3
10.486,4.3556,434.54,36.514,2.1581,4.2015,15.149,11.971,Unknown
0,0,0,6.362,10.646,0,0,0,Unknown
33.068,3.6221,399.2,24.848,3.3594,5.6948,231.16,111.6,2
0.69682,3.1278,771,21.152,114.87,0,5.4053,17.176,Unknown
3.7045,3.741,622.19,449.61,8.4429,2.7239,18.222,19.155,4
0,8.1703,485.52,315.88,13.577,2.4079,10.984,42.56,4
17.834,248.62,853.28,217.61,4.1574,3.3504,7.755,25.499,1
0.73318,3.8467,414.26,2.9785,0,0,65.916,30.835,2
0.41351,1.0624,752.43,399.03,0,3.3459,11.299,17.233,4
0,6.6119,431.89,23.368,2.2637,4.5877,151,86.391,2
1.9326,8.7293,616.79,363.74,2.4788,2.3571,8.6338,15.71,4
1.3199,16.218,1256.7,219.75,66.095,0,4.0371,22.891,Unknown
2.2561,8.6704,524.26,20.163,79.493,16.722,4.5018,5.4714,Unknown
2.6507,2.1841,567.31,17.389,17.724,0.2628,8.5349,21.258,Unknown
1.3293,7.6837,485.94,15.37,3.2183,2.2793,8.3166,7.0598,Unknown
5.6728,4.5432,706.18,418.05,0,1.3871,9.836,39.726,4
1.9208,3.8737,565.91,6.8697,66.506,6.1943,2.7004,1.2415,Unknown
0,1.6443,1142.3,14.716,58.699,0,0.59581,1.437,Unknown
7.1314,3.8074,840.99,12.508,0,0.070915,97.165,102.65,2
1.2061,5.3412,707.03,302.73,2.7829,4.9251,10.822,45.111,4
4.3201,2.4769,390.4,0,5.6274,4.9994,243.69,66.219,2
65.589,187.06,407.73,0.43313,0.078519,0.25864,1.6183,1.2777,1
4.6473,2.3631,455.6,17.524,0,0.66042,6.6305,21.046,Unknown
2.6147,3.8533,411.51,153.24,4.4063,3.8874,17.448,20.633,4
0.82722,5.6918,338.24,19.766,69.01,0,0,2.7654,Unknown
0.4126,21.898,980.55,445.6,25.317,1.7636,15.515,28.062,4
0,14.49,886.08,482.52,1.7671,9.472,22.49,28.051,4
0,0,912.68,719.89,3.3323,1.8797,2.8807,49.584,4
0.39057,6.2391,546.99,16.881,4.8063,3.0843,0.28607,4.2939,Unknown
5.228,2.7559,692.4,13.5,3.2556,116.25,149.16,8.4483,3
2.6802,5.3528,603.34,336.12,4.1995,2.3629,17.575,34.049,4
0,14.183,617.22,352.63,9.0856,5.7734,6.2555,8.3053,4
4.7831,2.8019,676.4,542.87,3.6885,2.3205,9.4119,8.792,4
1.2254,5.1787,476.25,17.381,2.7497,166.67,177.08,4.2567,3
2.4577,10.92,668.67,298.51,2.1634,1.4716,7.1106,15.771,4
1.3501,13.6,824.99,424.39,3.5405,5.9904,18.215,32.92,4
76.212,502.61,585.69,10.143,0,7.8495,3.6057,3.2466,1
151.39,234.51,487.41,15.453,0.45503,0.24002,12.713,3.7607,1
3.4946,0.58821,718.14,459.31,7.5229,5.2418,14.36,24.87,4
0,6.5712,634.58,500.24,6.4769,0,19.993,16.716,4
0.50327,9.9512,735.07,22.337,2.358,4.296,290.28,130,2
0.53801,7.3755,313.45,1.4735,2.5969,0,0.24186,4.2424,Unknown
0.45145,0.42828,575.79,283.22,0,7.4858,4.234,18.006,4
