0,1,2,3,4,5,6,7,labels
2.3179,11.665,2322.1,662.08,1.1924,3.2303,2.8168,4.3787,4
5.0888,7.7559,2767.1,4.5314,0,0,671.04,158.09,2
0,14.056,2511.4,552.3,0.12406,0.76722,7.8905,13.245,4
0,7.5596,1952.7,970.77,0,0,6.1741,9.7466,4
41.332,12.07,1557.2,7.8865,0,11.335,410.43,27.476,2
0.39627,3.6864,1780.2,852.45,0,0,13.265,9.6259,4
15.882,15.435,2372.7,2.2779,0,8.1925,321.99,46.039,2
0.31285,6.7353,3463.5,1069.3,0,1.6993,6.6677,1.187,4
0.57741,8.6376,1323.2,4.0855,96.781,3.4492,9.5898,0,Unknown
0,7.0455,2798.7,6.8322,1.5627,2.5833,605.64,139.54,2
44.116,10.85,2699.9,8.2498,1.813,347.84,142.72,2.1808,3
0,0.34206,786.53,137.66,0.46127,6.9313,3.8873,0,4
1.6885,3.8331,2597,8.9177,0,1.1988,792,72.511,2
0.80205,1.5033,1597,10.427,0.78625,1071.1,288.25,1.1259,3
71.645,7.1415,3255.1,1.8087,1.0083,1.2331,674.44,96.827,2
1.8501,1.5667,2670.7,1102.1,0.94893,0.55411,8.802,25.226,4
0,8.3168,1797.4,0,0.93415,3.3875,542.23,50.322,2
0,0.21541,2649.7,977.78,1.5324,0,4.7885,7.218,4
0,0,479.17,4.7977,0,454.53,157.69,0,3
8.966,6.8652,2360.6,3.9281,0,1796.3,428.98,0.13102,3
0.48804,22.064,2876,3.7339,0.74507,0,657.22,117.99,2
0,0,2145.1,1168,0,2.8516,0.40712,3.172,4
3.801,16.795,3373.9,694.88,0.33046,0,0.3082,0,4
0.92133,0,1721.1,295.89,0.3551,6.7129,0.44192,6.6536,4
0,1.726,2085.6,396.79,0,0,0.93305,0,4
0,10.467,3942.2,0.4138,524.9,837.47,5.4042,0.57284,Unknown
1.7063,3.119,930.88,8.0104,0,5.2496,291.9,25.41,2
6.1361,4.6528,1877.5,3.186,0,5.2293,415.93,138.4,2
2.8504,7.226,1998.3,1242.1,0,0,1.5143,1.0765,4
14.935,7.7489,2944.9,0,0,0.5271,370.52,138.87,2
57.862,6.7222,3177.3,14.478,0,1.9419,5.5014,8.4569,Unknown
0.33108,4.1997,1965,5.5319,0,18.904,0.41146,1.3147,Unknown
0,1.1455,1719.8,528.6,1.9739,2.3316,3.2395,0,4
1.184,4.6735,2192.5,131.38,1.6979,0,3.8191,4.1763,4
0.51575,9.2979,2828.5,1.635,1.959,1.7954,3.9109,0.35853,Unknown
1.1565,6.472,2004.2,574.44,0.62493,0,2.4898,2.8735,4
0.62045,6.3669,1658,298.11,0.58347,0,6.8989,11.326,4
0,5.1988,1746.9,5.5654,1.8975,950.92,423.84,0,3
0,4.7889,2097.9,8.5958,0,1131.8,339.69,0,3
0,6.5747,2158.8,755.65,3.9849,3.673,10.254,2.2158,4
0,5.3824,565.78,1.5226,0.27181,0,0,1.7587,Unknown
16.963,16.09,2518.2,0.20562,0,0,310.11,174.26,2
8.4313,10.502,3259.2,10.695,0.81788,2.6614,690.58,150.68,2
0,0.68702,3268.6,786.05,3.0151,0,8.7298,6.5928,4
0,4.2115,687.45,1.7284,0,0,2.2448,6.8551,Unknown
0,17.107,2397.8,1149.6,0,0,3.0862,7.436,4
2.0321,4.8277,1991,554.37,0.49083,0,2.5625,16.298,4
2.2169,2.951,1839.3,13.571,1.3236,1.4883,298.65,67.582,2
0.41169,6.7982,2164.1,2.0241,0,1517.1,344.68,0,3
151.56,904.87,5372.8,6.5938,0,1190.9,540.85,3.6923,Unknown
3.3971,6.633,2243.1,1179.2,0,0,2.8802,1.4656,4
0,10.28,4093.5,2.7249,9.0642,1.8961,0.81531,0,Unknown
1.791,2.9323,2285.9,1102.4,0,0,7.2599,4.8103,4
0,11.052,2384.9,772.04,0,0.81183,5.9966,2.4408,4
1.9854,6.5924,1961.1,228.78,0,0.92752,0.16404,1.8576,4
244.89,482.89,564.03,5.0738,0,0,6.4899,0.17979,1
2.1126,7.7151,2993,786.22,0.11273,6.0437,11.354,3.1205,4
0,1.3499,1117,0.44165,0,10.246,4.3745,3.2302,Unknown
3.2233,45.25,3297.6,1043,0.98938,0.32878,2.9904,6.8584,4
5.9427,10.585,2472.2,327.78,2.6742,0,0.37907,2.7696,4
5.4661,2.934,1853.4,895.18,3.3793,0,5.3456,4.2774,4
2.6899,12.021,2531.4,968.05,0,9.8049,4.0072,4.611,4
0.48826,1.6755,3509.2,6.6152,64.234,5.6287,6.5312,3.0749,Unknown
0.99426,3.802,2168.4,604.65,2.1233,0,0.40537,1.4345,4
0.97818,14.651,4557.8,283.34,103.1,4.4341,7.1619,7.2216,4
32.247,14.322,3030.1,3.0217,1.1752,2326.8,620.1,0.22435,3
73.354,823.3,1641.1,0,0,1.4086,1.6946,0,1
0,8.133,1554.9,675.56,1.0369,2.3996,3.4099,3.5842,4
0,2.2721,1282.8,129.81,0.57212,0,2.9607,1.604,4
47.923,931.53,1397.3,0,1.3625,0,10.667,0,1
0,2.1416,2372.2,701.42,1.6838,1.328,5.6363,11.239,4
1.9776,5.4198,1757,239.15,0,0,1.7761,1.5317,4
0.9621,4.2966,3411.1,9.7198,0,297,1371.2,0,3
2.5505,5.1807,1359.5,92.599,0,0,0.054622,1.573,4
0.11802,4.5448,2544.4,831.82,5.741,0,4.1556,11.143,4
11.203,5.7764,1874,3.2299,0,1.8186,79.569,47.627,2
1.8766,20.974,2845.1,1044.5,0,0.89929,0,8.7749,4
1.2749,0.30639,1846.8,499.87,0.37118,2.8354,10.393,7.8741,4
0,6.872,2116.5,824.92,0,0,4.0747,14.113,4
5.9246,3.8189,2464,730.89,0,0,1.3493,7.304,4
6.6755,2.8878,1936.7,9.8155,1.9861,4.4475,269.37,57.977,2
1.1087,10.213,2648.1,1.9866,0.12981,3.5065,851.26,131.26,2
33.902,29.357,3128.4,6.6339,2.073,995.64,413.34,5.0667,3
62.965,7.6331,3948.8,4.4138,0.44749,1.1123,738,204.72,2
24.591,9.0253,2361.1,2.6657,1.476,2.0483,181.98,75.313,2
3.678,7.7197,1986.7,880.17,0.86851,7.4658,2.2378,2.6291,4
0.87033,13.084,1835,656.46,0.92772,5.12,7.2138,18.674,4
0.28939,3.3912,1510.6,184.25,0,1.7139,2.1536,0.7643,4
0,0.75906,1820.8,4.9715,0,26.172,272.11,0,Unknown
265.5,887.71,1044.6,0,0,0,4.3312,0,1
0,0.72874,894.22,4.0216,0,0.60427,228.63,51.458,2
17.017,9.7403,2748.8,9.879,0,0,167.13,90.937,2
1.1708,5.9823,1340.7,4.1303,0,10.773,3.446,0,Unknown
13.083,1.3943,1368.3,8.6467,0.37583,104.01,290.91,0,3
9.1178,4.7083,1398.7,2.1057,0,0,2.8347,0,Unknown
0,1.3446,967.51,0,0.17162,906.64,239.05,0,3
0,4.8203,2241.3,759.09,0.725,0.023307,3.1849,4.3279,4
66.597,15.152,4423.6,1.0718,0,875.12,164.73,0,3
0,2.9939,1884.1,4.5758,0,0,499.7,84.584,2
4.6337,0,1232.2,2.5631,0,4.1958,3.1012,7.5027,Unknown
185.6,0.036223,1635.7,0,0,0,22.072,6.7892,Unknown
0,0,626.44,221.09,0,0,0.35163,3.2949,4
7.2409,3.9673,673.87,0,0,0.47413,4.3222,5.3694,Unknown
1.9756,7.2962,2117.7,770,0.022743,4.2998,6.6566,5.1474,4
0,18.648,1020.1,0,1.1634,1.8497,7.4033,0,Unknown
0,2.0621,1257.4,13.79,1.0169,642.2,336.74,1.502,3
0,11.134,2301.3,8.827,108.17,115.69,6.045,3.243,Unknown
1.9856,2.3861,1802.6,0.90896,0,7.3632,326.81,88.86,2
3.4894,4.747,2432.1,330.67,1.756,1.0938,1.6534,1.0619,4
0,11.786,1465,5.8637,6.4524,1.4859,0,0.54732,Unknown
3.5394,1.4041,2353.3,3.7744,0,1.3467,518.64,96.822,2
2.0626,5.9646,2895.1,1028.8,0,0.031582,3.9385,5.0859,4
0.27347,9.5804,2287.2,2.2941,149.42,23.379,7.7383,0,Unknown
2.9385,9.5216,2420.7,7.8149,1595.5,8.3202,1012.3,107.42,2
0,0.055003,1608,2.3555,0,1243.2,409.15,4.78,3
0,2.7808,1145.9,0.36991,4.3848,0,5.4276,0,Unknown
1.2737,4.9649,2277,868.25,5.8715,0,0,1.1283,4
0,2.5813,1110.7,511.31,1.8185,0,8.1892,7.8563,4
0,5.8307,2288.4,676.28,1.0185,3.0192,2.7615,5.649,4
2.9472,6.2778,2202.6,904.39,0,2.9304,5.5414,4.5603,4
17.572,1.3108,1913.6,2.9192,0,1.2064,376.15,84.356,2
0,3.0924,2411.4,720.42,3.8298,2.8092,4.9428,0.36567,4
0,3.5868,1625.2,0,0.2859,0,262.64,74.639,2
3.643,13.919,2872.7,961.72,32.576,2.2478,2.4888,2.1735,4
0,2.9953,1222.6,3.3072,37.077,10.218,7.128,0,Unknown
0,8.3514,2935.7,1317.3,0,0,3.1361,21.01,4
1.331,22.542,5587,456.95,1.0577,0,8.218,5.1909,4
3.1995,1.0694,2669,886.79,0,0,1.6259,10.38,4
6.9586,9.7652,2431,599.49,0,0,10.234,4.3434,4
0,0.54619,2491.5,1.1457,0,2153.7,200.13,0,3
0,0.31921,1248.9,0,0,6.9057,604.98,44.38,2
1.5771,1.7178,2519.4,838.54,3.7658,0.31118,2.0012,6.2395,4
0,2.1071,1199.2,404.51,0.91995,0,11.714,0.47569,4
0,9.7188,1776.7,708.61,0,0,4.2432,4.0541,4
0,11.03,3635.2,8.9172,412.26,0,6.8857,1.6606,Unknown
0,11.251,1274.3,173.14,0,0,3.4102,2.1314,4
1.2746,8.5605,2515.9,911.88,0,9.3541,7.2564,8.4199,4
0,12.616,1918,309.52,0,0.97933,0,1.6619,4
3.1527,10.895,3712.8,610.78,6.2543,0.5675,1.8284,11.648,4
2.1096,8.2893,2233.9,874.11,0,4.6243,5.595,7.0171,4
0,5.2263,1734.9,163.57,0.058827,1.4225,7.3942,4.5587,4
0,6.5992,529.24,13.12,5.664,9.1336,3.4486,0.58469,Unknown
0,0.50762,2589,5.335,37.949,1.7445,3.3806,0,Unknown
0,3.0776,1658.3,147.34,1.4361,0,4.3931,3.2948,4
0,5.0692,2042.4,346.88,0,0.37448,7.3809,1.7437,4
19.766,6.6075,1946.4,9.5773,0,5.57,1.3476,14.671,Unknown
2.3159,4.4693,3592.2,9.5704,654.04,111.5,2.3657,1.721,Unknown
1.2925,4.8157,2306.6,568.61,0,0,0,2.0251,4
106.45,14.929,3524.2,9.8537,0,14.441,430.62,129.19,2
0,0.79019,2154.3,7.4276,0,11.44,1225.2,157.4,2
0,4.7617,2053.1,8.8501,0,3.0597,726.81,113.41,2
0.42822,2.6206,546.11,7.682,2.9446,6.5835,6.9349,0,Unknown
1.9793,24.065,2450.2,938.03,0,0,8.5488,7.5553,4
0,0,12.773,3.3752,0.45271,6.3016,2.5282,0,Unknown
0,4.3388,2651.4,272.29,2.6068,1.0418,2.431,7.1692,4
0,8.4972,3365.6,0,450.54,0,0.28643,0.15417,Unknown
53.131,3.7479,2511.6,2.0361,0,8.9721,4.4475,3.3395,Unknown
1.1462,9.3793,2923.1,1244.6,0.30747,2.6498,7.4042,0.19501,4
0.83373,8.7806,2157.9,486.18,2.4819,0,2.5994,2.5095,4
1.9906,9.2596,1336.9,583.29,1.4755,3.435,6.6672,19.557,4
4.9018,19.935,3015.2,532.78,0,1.3158,0,2.3138,4
0,6.4638,988.85,199.73,2.6943,0,4.9913,1.573,4
7.9744,13.89,2831.3,1025.1,3.9338,0,4.0651,18.028,4
3.6325,2.5607,569.37,22.041,2.2632,4.2776,4.4679,2.9387,Unknown
0,10.619,2003.7,0,0.45826,0.64765,478.81,106.78,2
0,9.4121,2007.7,546.07,0,3.5189,7.4831,7.678,4
0.73639,2.8095,1691.7,811.87,0,0,4.7342,3.2441,4
0,8.9454,2416.3,475.52,0,4.4121,0,5.968,4
67.748,4.2483,1768.8,3.0037,0,0.65553,62.601,21.317,2
0,0.48551,982.78,211.86,0.57061,15.271,8.9822,4.6521,4
0,9.2647,2684.8,1.1524,0.3796,0,1198.3,79.936,2
3.7503,9.6534,2392.9,821.03,0,0,1.7187,2.6777,4
0,10.592,1302.2,196.16,1.7212,8.664,5.6162,8.5452,4
98.261,9.0585,3004.1,7.5436,0,6.1532,659.18,146.58,2
0.43114,8.4696,3090.1,7.4815,365.93,170.93,7.7043,0,Unknown
0,9.7479,2668.6,5.8227,3.1651,7.9225,758.6,104.74,2
