0,1,2,3,4,5,6,7,labels
23.05,210.53,362.92,0,0,0,0,0,1
0,0,1342.4,675.17,0,6.4651,7.3541,8.3806,4
3.7485,1.9036,1218.2,5.2674,1.1818,2.9499,0.56952,9.2951,Unknown
2.2853,7.2918,215.35,0.80541,1.4341,0.17273,1.3101,1.5548,Unknown
0.53586,3.2597,1361.3,430.8,1.723,0,4.383,6.6213,4
0,7.061,986.51,657.88,0,1.1435,2.5135,12.319,4
1.4632,3.6966,1180.7,645.9,1.9977,1.9026,0,12.526,4
0.44237,5.5566,1334.1,744.17,4.4024,2.7599,2.4567,6.9419,4
0,1.2147,972.23,448.74,1.5897,0.48701,6.9605,0.59557,4
0,0,1179.8,1.1896,0.86208,1.7931,239.82,59.521,2
40.663,163.55,594.74,0.01062,0,2.8683,1.5345,0.1832,1
0,0.31004,871.44,0,0.58514,571.38,199.43,1.5841,3
59.588,146.54,1142,0.20722,0,0,3.3992,0.43863,1
0.82409,1.4907,1352.7,537.14,0.69194,7.5062,2.0859,9.9951,4
30.491,1.4212,1147.3,7.0502,0,0,3.991,17.301,Unknown
0,0.27046,1359.5,793.55,0.93479,0,10.987,2.0337,4
34.972,1.3862,660.61,0,0.74244,0,5.7386,10.162,Unknown
0,11.876,1252.6,605.05,0,5.2542,4.8311,14.127,4
0,4.3134,645.67,0,0,1.0126,237.08,27.409,2
0,1.1357,954.03,5.8094,0,6.1749,273.08,83.928,2
0.061777,0,736.19,243.22,0,0,7.7568,3.7715,4
3.3369,1.7381,857.76,177.27,183.38,0,0.66357,3.8371,Unknown
0,1.4062,1310.9,590.95,2.7612,3.3244,1.7274,1.2793,4
6.5617,3.4298,771.28,0.24517,0,0,2.606,16.046,Unknown
23.347,3.0931,888.43,5.6509,0,1.5668,37.282,20.808,2
4.3506,2.5259,1070.9,699.05,0.33211,0,2.7163,3.8807,4
30.273,6.9781,1374.7,7.622,1.1807,3.8503,274.65,51.079,2
0,0.95796,1222.7,590.66,0,0,0.86763,9.9427,4
0,2.1665,674.03,441.43,1.3754,0.49126,1.3633,1.3733,4
0,2.4887,1111.8,0.91168,0,2.23,336.7,56.126,2
0.69739,2.5586,479.08,94.845,0,0.44661,1.2555,0.58325,4
0,2.2975,1133.4,435.89,0.60392,3.0997,6.5938,3.3688,4
0.11598,0.811,1071.9,727.64,1.6341,0.23126,2.3258,15.669,4
