0,1,2,3,4,5,6,7,labels
17.89,10.231,790.55,2.7417,0,1.0653,179.6,45.063,CD4_Tcells
0,4.6372,1112.7,468.41,0.25689,2.4362,1.7811,13.506,Monocytes
0.002912,7.2418,1294.2,624.25,0,0.49315,2.3514,2.0904,Monocytes
2.9118,2.7268,1321.2,579.82,0,0.91006,1.5757,8.3613,Monocytes
0,4.5986,778.36,0,0,0,253.72,38.567,CD4_Tcells
501.77,921.67,934.45,2.6003,0,0.043438,2.6143,1.787,B_cells
0.75311,2.8833,964.34,383.89,4.1172,0,3.5132,1.442,Monocytes
0.15742,0,748.81,80.876,1.5933,4.5509,4.1106,5.1319,Monocytes
0,1.7064,965.98,1.452,65.134,0.18693,0.008875,0,Unknown
0,2.5197,1308.4,0.2186,16.537,83.937,4.5476,1.5487,Unknown
58.754,622.58,1103.8,0,0,0.34409,2.9369,0.2667,B_cells
0,3.7378,1558,674.44,0,0.46798,9.8786,5.8536,Monocytes
0,1.3461,417.09,0.34945,2.1385,17.831,0.42228,0,Unknown
0,8.5597,678.43,2.4141,5.1191,145.23,0.65068,0.68034,Unknown
2.4227,0.31178,894.3,537.18,0.10589,0.79781,4.6138,7.9643,Monocytes
0,0.27763,900.68,0,0,0,76.651,39.83,CD4_Tcells
5.5123,0.14064,409.61,7.8069,957.69,0.21294,2.0536,2.8053,Unknown
8.3406,3.4266,1228.3,5.8289,0,1.3429,330.58,56.429,CD4_Tcells
1.7983,1.4539,725.99,3.2185,0,0,56.167,40.519,CD4_Tcells
0,1.0884,856.88,268.2,0.71667,1.8376,6.8424,8.1438,Monocytes
25.371,231.52,600.57,1.6902,0,0,0,0,B_cells
0.89261,0,1272.8,666.21,0.083703,0,3.3382,5.3103,Monocytes
78.862,0.009001,1360.5,0.19753,0,59.137,228.66,0,CD8_Tcells
1.3608,1.1416,777.96,479.92,1.7614,2.3197,2.7555,3.6194,Monocytes
0.19515,0.50979,823.08,0.23438,492.71,44.746,1.4897,1.5194,Unknown
0,2.6979,1649,0.09091,9.1305,102.58,790,0,CD8_Tcells
0.75487,0.9578,569.51,0,1.3207,0,1.5621,18.179,Unknown
4.5414,5.0398,1405.2,553.7,0,0.16526,0,3.5432,Monocytes
2.9451,1.0091,839.34,295.51,0.062463,1.2664,1.8448,3.7088,Monocytes
0,4.6826,846.89,302.26,0,1.7491,5.1893,1.1366,Monocytes
10.457,3.1701,1763.1,0,0.33845,1330.1,196.8,0,CD8_Tcells
1.8921,2.9941,2183.4,189.8,46.872,1.4734,4.8996,0.4193,Monocytes
0,0,774.27,99.382,0,0,0,1.5988,Monocytes
6.6703,1.5633,770.15,10.376,0,0.78889,184.27,24.809,CD4_Tcells
0.25697,2.6412,1016.4,399.35,2.5098,1.4112,5.2788,3.4784,Monocytes
1.9798,0,274.4,84.894,0,6.9176,3.6285,2.8074,Monocytes
