0,1,2,3,4,5,6,7,labels
0,18.252,731.51,504.31,1.9072,0.20082,22.222,35.38,4
20.494,192.63,228.73,15.628,1.5368,0,8.3608,8.5751,1
0,28.059,817.97,477.44,9.8117,1.35,21.573,29.496,4
0,18.048,822.95,398.26,2.0039,1.7082,27.042,24.127,4
0,2.2772,340.74,37.047,2.7016,3.5941,155.78,98.224,2
14.915,9.4399,338.61,23.497,7.8427,0,72.555,71.875,2
52.306,163.15,271.16,13.518,7.0772,2.9912,17.313,12.209,1
0,7.6352,373.81,16.23,55.965,6.8452,13.098,4.4723,Unknown
0,1.7079,386.24,12.177,0,1.0276,0.90743,0,Unknown
1.2127,6.5275,337.96,23.678,2.0861,3.7736,223.07,66.082,2
30.893,9.6452,416.44,16.38,2.7447,6.2013,252.16,93.355,2
0,11.056,360.03,11.551,8.7741,0.74087,226.15,77.863,2
0.41272,15.649,745.5,66.961,4.1064,3.5695,29.034,26.109,Unknown
0,2.2037,480.4,24.603,2.3821,10.663,545.4,77.659,2
0.5998,19.894,991.1,576.78,2.5535,5.1736,22.959,42.155,4
0,18.259,500.4,68.528,4.3699,2.5286,30.823,21.479,Unknown
0,18.847,930.96,455.73,5.016,4.5698,24.414,32.985,4
0,8.3628,349.36,23.503,60.467,2.8352,5.9522,9.1954,Unknown
40.498,1.9936,261.48,7.9048,0,9.0707,90.591,73.206,2
0.47837,12.378,429.58,24.066,0,179.53,296.42,5.0457,3
0.39064,18.836,1131.2,194.45,0.97248,0.097689,5.4733,2.8876,4
1.8224,17.441,859.79,299.76,5.0341,5.2847,27.577,25.282,4
0,10.227,623.13,29.005,5.5366,1.6604,21.754,3.4441,Unknown
0,0,13.617,3.0033,0,5.559,1.3101,0,Unknown
0,8.9209,614.26,167.02,9.2438,8.9208,46.474,21.077,4
3.4367,1.2549,124.41,16.999,0.90343,9.7168,196.24,21.85,Unknown
0.88695,2.5075,393.44,6.1308,4.9138,9.1206,201.78,64.788,2
0,15.206,672.66,311.65,2.9826,2.5086,15.834,17.48,4
14.204,9.613,455.13,43.12,2.8406,7.1811,132.53,70.795,2
0,11.276,702.43,380.98,2.9925,3.4685,15.566,7.3593,4
0,4.7844,444.12,36.47,2.1888,6.6057,200.93,78.896,2
0.030925,15.457,768.24,523.68,3.0607,3.9248,20.732,38.978,4
128.16,158.81,437.38,21.335,3.9901,5.8125,7.9835,11.154,1
