0,1,2,3,4,5,6,7
3.5452,1.8088,704.71,1.1302,12.999,3.4507,10.065,14.1
2.3081,2.4735,901.81,371.05,983.37,2.9973,1.1921,5.2443
6.1843,0.0,362.26,0.0,1974.0,0.0,116.34,1.9627
2.8519,0.025761000000000003,364.92,0.0,1826.5,0.0,0.17614000000000002,0.0
2.5742,4.6174,1235.2,0.0,1049.9,7.7,7.0569,0.7770600000000001
9.4984,2.2741,1526.2,456.66,1154.8,1.9836,5.1827,12.28
6.0258,6.3396,873.74,623.34,910.58,4.013,2.7741,11.998
4.4542,2.9049,1618.1,523.65,825.46,0.0,0.99792,3.8714
67.305,8.4442,1538.9,10.21,951.71,51.38,280.05,109.51
2.543,3.662,1139.8,454.38,967.58,0.0,3.5636,4.9534
7.249,12.248,1053.3,0.0,0.0,0.0,4.1508,8.9845
0.12003,6.7475,1203.0,0.0,850.88,53.75899999999999,3.3366,1.301
2.4322,3.2781,1633.0,860.74,1880.8,0.0,1.5325,2.4819
0.26509,6.5996,1299.1,408.15,882.7,0.0,18.602,12.698
2.5305,4.3744,1723.5,897.65,899.64,1.9678,4.6013,2.0488
0.28714,3.0596,525.9,115.71,346.66,0.0,0.0,1.6361
0.0,3.8907,1222.5,1.8284,14.193,0.0,7.3014,0.0
0.1504,0.0,814.14,2.0254,0.0,2.2923,191.36,0.0
7.9253,0.79074,1173.7,476.35,1011.7,1.9933,2.2325,7.5529
28.29,0.0,817.55,8.4149,966.03,0.0,11.263,9.6227
6.6883,0.07989600000000001,409.78,0.0,1.7835,0.0,0.0,1.5865
6.3211,0.26684,843.95,187.65,962.82,0.0,0.0,0.0
0.30327,4.711,1756.5,646.82,927.15,3.7364,0.75532,6.1895
3.5685,0.009444,1285.9,500.92,975.52,0.0,8.6791,8.35
2.2092,8.6562,1949.6,0.0,1246.4,195.71,2.6239999999999997,2.7869
0.0,0.39797,878.89,0.46316,24.73,14.112,2.946,2.3396
1.2515,1.1986,867.71,210.73,853.56,0.0,1.36,5.2683
0.9900399999999999,4.8722,1679.5,2.0405,5.3408,160.35,2.7375,0.0
0.0,4.7947,173.87,0.0,0.0,0.0,3.5065,0.0
0.0,6.9584,1115.1,3.4456,177.3,3.7428,7.8898,0.0
0.15531,8.1582,1258.0,488.19,804.8,0.0,9.9721,7.2547
0.0,1.1459,371.47,7.9801,0.0,6.05,1.9128,0.0
0.0,0.0,538.73,23.081999999999997,0.0,0.17463,5.7491,7.0055
2.5736,0.0,1229.3,6.5115,0.0,2.9841,1.6386,0.0
1.579,3.6171,889.85,134.86,989.99,0.37292,2.4755,15.45
0.43966000000000005,0.0,922.89,436.13,918.15,0.0,0.044419,1.8689
2.3201,0.8650899999999999,338.09,2.7148,0.0,0.0,5.3299,0.89991
0.0,0.45253000000000004,1900.0,0.0,195.77,60.894,1.8328,0.63163
0.6520600000000001,0.73693,1313.8,7.4032,13.205,1.246,0.18287,0.0
0.0,0.0,992.28,2.8568,41.318999999999996,37.796,0.030494,0.0
0.0,0.14793,1501.4,4.854,6.5187,26.09,1101.2,0.0
5.0129,0.76817,798.47,3.9604,0.0,0.1153,2.5366,7.5754
10.038,10.133,1221.7,401.49,1874.8,1.6869999999999998,5.3509,18.772000000000002
3.8569,0.22086999999999998,615.35,0.0,878.31,6.3261,0.34066,0.0
3.5538,0.82178,1334.7,415.69,848.92,0.0,4.1343,2.7285
1.2566,0.0,563.33,0.2558,0.10878,4.2226,4.3556,0.0
0.0,4.8009,1274.6,397.6,880.42,0.0,0.0,3.016
0.087163,12.546,1094.5,433.32,2017.5,4.1315,1.6042,3.1521
5.2061,2.4817,1374.2,407.45,974.64,0.0,0.0,13.617
