0,1,2,3,4,5,6,7
5.8295,16.115,781.33,31.259,2.6007,9.2735,120.82,69.563
89.251,4.4738,1086.6,39.247,2.9351,1.7114,366.03,350.29
7.5345,0.0,168.02,1.6064,1.2499,0.44788,100.52,40.037
1.6328,4.621,448.79,10.819,0.36914,1.6161,337.02,111.76
0.89923,7.1686,422.63,7.3163,0.0,12.350999999999999,232.21,69.55199999999999
0.0,5.3508,538.88,20.78,0.0,5.7092,292.61,142.34
2.3472,7.0518,522.37,3.7188,1.557,3.9776,307.79,59.431000000000004
73.457,7.7621,441.13,7.7149,2.8579,3.153,218.29,128.0
13.32,3.3447,471.73,24.668000000000003,1.7034,7.1545,188.61,76.294
0.22598000000000001,2.7151,698.0,9.3905,2.3383,15.472999999999999,208.59,48.43
18.258,7.0128,333.11,19.066,0.77207,2.1804,132.49,55.262
0.0,0.0,349.08,8.8987,0.0,3.9743,181.62,83.458
0.0,6.4718,344.2,17.977,3.4608,1.6979,284.38,89.544
19.961,4.064,537.65,21.799,1.0853,12.104000000000001,684.78,223.9
8.16,0.0,589.12,28.429000000000002,0.68505,0.0,88.822,92.21600000000001
4.8678,8.3398,391.89,10.685,1.2064,0.0,179.56,90.87700000000001
0.0,2.2155,364.85,6.1273,0.0,7.9633,209.53,71.86
0.67457,3.9232,515.6,27.162,5.4239999999999995,3.2579,286.06,120.82
5.3417,5.0678,545.93,39.196,1.3019999999999998,0.0,204.21,140.0
0.0,12.779000000000002,318.43,5.6594,0.0,6.4933,127.12,52.797
42.403999999999996,11.739,616.17,34.293,0.0,6.1471,222.24,99.823
1.0179,0.20976999999999998,551.55,13.924000000000001,0.0,3.4335,241.78,97.22200000000001
0.0,7.8979,449.02,11.152000000000001,5.5855,0.0,160.64,69.818
0.0,6.0161,532.73,14.298,2.8774,8.8741,440.48,100.96
1.6257,0.32144,609.65,18.787,0.10223,2.4601,235.51,107.9
10.959000000000001,3.8683,439.69,11.877,0.65782,0.0,90.98899999999999,48.958999999999996
11.22,3.7073,314.69,0.0,4.0107,2.4659999999999997,112.0,36.634
0.41821,18.276,763.5,21.64,2.0872,5.0438,234.5,131.75
0.0,2.6663,420.37,24.958000000000002,2.2422,0.9285700000000001,169.94,57.08
1.1374,6.2502,444.47,4.3667,0.21249,0.73435,146.52,71.942
0.0,0.0,772.27,34.944,0.0,6.8169,436.68,187.47
39.242,0.5052399999999999,345.37,5.9641,1.0082,0.0,189.63,78.77
0.0,0.68084,376.52,22.085,5.8328,0.69497,321.5,122.33
2.6782,1.7079,395.33,17.915,0.88292,0.0,199.57,54.071000000000005
33.577,11.575999999999999,547.05,6.5473,0.37701999999999997,0.0,268.35,80.227
3.2115,2.5308,198.82,12.345,0.0,2.9061,114.17,22.245
0.0,0.0,372.46,3.8346,6.2882,10.011000000000001,310.78,56.713
1.7768,8.6929,681.11,31.561999999999998,3.1834,3.1349,416.07,149.04
2.7092,2.5334,547.64,16.024,3.9003,5.7981,130.93,106.05
0.91402,1.2904,557.07,16.057000000000002,0.0,4.2583,297.97,80.027
0.975,0.37198000000000003,297.33,1.1575,0.0,3.3247,371.96,81.331
0.098595,4.5812,378.51,9.4455,0.0,4.1973,198.19,63.093
2.9131,0.0,503.99,17.369,0.0,2.4345,160.61,81.445
0.33955,7.1254,387.99,46.787,0.0,1.6542,181.61,83.677
2.282,5.1427,565.11,10.519,1.0579,9.1545,427.42,82.023
0.34493,3.0309,322.84,16.936,3.9222,3.4765,311.62,63.967
1.6093,2.4993,349.48,16.066,0.44526000000000004,2.2042,237.88,88.316
6.5599,4.4166,389.11,26.905,1.4459,2.5107,143.81,94.338
2.4291,1.8835,332.18,10.370999999999999,1051.6,5.989,182.2,70.78699999999999
4.9042,0.0,180.0,14.027000000000001,6.5812,12.123,88.50299999999999,52.725
0.0,2.04,567.49,4.6331,3.492,4.4111,132.35,38.845
